Issue Type,Summary,Description,Epic Link,Story Points,Priority,Original Estimate,Component/s,Labels
Epic,EP-001: Autenticação e Gerenciamento de Usuários,Sistema completo de autenticação e gerenciamento de perfis,,,High,,Backend;Frontend,sprint1;mvp
Story,US-001: Login de Usuários,Como usuário quero fazer login no sistema para acessar minhas funcionalidades,EP-001: Autenticação e Gerenciamento de Usuários,8,High,,Backend;Frontend,sprint1;mvp;autenticacao
Sub-task,[BACK-001] Implementar autenticação com JWT,Criar AuthService para geração de tokens JWT,US-001: Login de Usuários,,High,5h,Backend,backend;api
Sub-task,[BACK-002] Criar endpoint de login,POST /api/auth/login - Validar credenciais e retornar token,US-001: Login de Usuários,,High,3h,Backend,backend;api
Sub-task,[FRONT-001] Criar página de Login,Formulário Vue3 com validações,US-001: Login de Usuários,,High,4h,Frontend,frontend;vue3
Sub-task,[FRONT-002] Implementar gerenciamento de sessão,Armazenar token e criar guards de rota,US-001: Login de Usuários,,High,3h,Frontend,frontend;vue3
Story,US-002: Cadastro de Clientes e Prestadores,Como novo usuário quero criar minha conta na plataforma,EP-001: Autenticação e Gerenciamento de Usuários,13,High,,Backend;Frontend,sprint1;mvp;cadastro
Sub-task,[BACK-003] Melhorar validações de cadastro,Validar CPF telefone e duplicidade,US-002: Cadastro de Clientes e Prestadores,,High,4h,Backend,backend;validacao
Sub-task,[BACK-004] Implementar envio de e-mail de confirmação,Configurar SMTP e templates de e-mail,US-002: Cadastro de Clientes e Prestadores,,High,5h,Backend,backend;email
Sub-task,[FRONT-003] Aprimorar página de cadastro,Melhorar validações e adicionar máscaras,US-002: Cadastro de Clientes e Prestadores,,High,5h,Frontend,frontend;forms
Sub-task,[FRONT-004] Implementar busca de CEP,Integração com ViaCEP,US-002: Cadastro de Clientes e Prestadores,,Medium,2h,Frontend,frontend;integracao
Story,US-003: Recuperação de Senha,Como usuário quero recuperar minha senha,EP-001: Autenticação e Gerenciamento de Usuários,5,Medium,,Backend;Frontend,sprint1;autenticacao
Sub-task,[BACK-005] Implementar recuperação de senha,Endpoint de solicitação com envio de e-mail,US-003: Recuperação de Senha,,Medium,3h,Backend,backend;api
Sub-task,[BACK-006] Endpoint de redefinição de senha,POST /api/auth/reset-password,US-003: Recuperação de Senha,,Medium,2h,Backend,backend;api
Sub-task,[FRONT-005] Criar página Esqueci minha senha,Formulários de solicitação e redefinição,US-003: Recuperação de Senha,,Medium,3h,Frontend,frontend;forms
Epic,EP-002: Dashboard e Perfil de Usuário,Painéis de controle e edição de perfil,,,High,,Backend;Frontend,sprint1;dashboard
Story,US-004: Dashboard do Cliente,Como cliente quero visualizar meu painel de controle,EP-002: Dashboard e Perfil de Usuário,8,High,,Backend;Frontend,sprint1;mvp;dashboard
Sub-task,[BACK-007] Criar endpoints de dashboard do cliente,GET /api/cliente/dashboard com estatísticas,US-004: Dashboard do Cliente,,High,4h,Backend,backend;api
Sub-task,[FRONT-006] Criar Dashboard do Cliente,Layout com cards e estatísticas,US-004: Dashboard do Cliente,,High,6h,Frontend,frontend;dashboard
Sub-task,[FRONT-007] Implementar navegação principal,Menu e rotas do cliente,US-004: Dashboard do Cliente,,High,3h,Frontend,frontend;layout
Story,US-005: Dashboard do Prestador,Como prestador quero visualizar meu painel de controle,EP-002: Dashboard e Perfil de Usuário,8,High,,Backend;Frontend,sprint1;mvp;dashboard
Sub-task,[BACK-008] Criar endpoints de dashboard do prestador,GET /api/prestador/dashboard com solicitações e agenda,US-005: Dashboard do Prestador,,High,4h,Backend,backend;api
Sub-task,[FRONT-008] Criar Dashboard do Prestador,Cards de solicitações e calendário,US-005: Dashboard do Prestador,,High,6h,Frontend,frontend;dashboard
Story,US-006: Edição de Perfil,Como usuário quero editar meu perfil,EP-002: Dashboard e Perfil de Usuário,5,Medium,,Backend;Frontend,sprint1;perfil
Sub-task,[BACK-009] Endpoints de edição de perfil,PUT /api/usuario/perfil e perfis específicos,US-006: Edição de Perfil,,Medium,3h,Backend,backend;api
Sub-task,[FRONT-009] Página de edição de perfil,Formulário pré-preenchido com upload de foto,US-006: Edição de Perfil,,Medium,4h,Frontend,frontend;forms
Epic,EP-003: Gestão de Serviços Oferecidos,Cadastro e gestão de serviços portfólio e certificações,,,High,,Backend;Frontend,sprint2;servicos
Story,US-007: Cadastro de Serviços pelo Prestador,Como prestador quero cadastrar os serviços que ofereço,EP-003: Gestão de Serviços Oferecidos,13,High,,Backend;Frontend,sprint2;mvp;servicos
Sub-task,[BACK-010] CRUD completo de serviços oferecidos,Endpoints POST PUT DELETE GET de serviços,US-007: Cadastro de Serviços pelo Prestador,,High,5h,Backend,backend;crud
Sub-task,[BACK-011] Validações de serviços,Validar categoria preço e status do prestador,US-007: Cadastro de Serviços pelo Prestador,,High,2h,Backend,backend;validacao
Sub-task,[FRONT-010] Página de gerenciamento de serviços,Lista com botões de ação,US-007: Cadastro de Serviços pelo Prestador,,High,5h,Frontend,frontend;crud
Sub-task,[FRONT-011] Modal de serviço,Formulário de cadastro/edição,US-007: Cadastro de Serviços pelo Prestador,,High,4h,Frontend,frontend;forms
Story,US-008: Gerenciamento de Portfólio,Como prestador quero adicionar fotos dos meus trabalhos,EP-003: Gestão de Serviços Oferecidos,8,Medium,,Backend;Frontend,sprint2;portfolio
Sub-task,[BACK-012] Implementar upload de imagens,Configurar armazenamento e otimização,US-008: Gerenciamento de Portfólio,,Medium,6h,Backend,backend;upload
Sub-task,[BACK-013] CRUD de portfólio,Endpoints de gerenciamento de fotos,US-008: Gerenciamento de Portfólio,,Medium,3h,Backend,backend;crud
Sub-task,[FRONT-012] Componente de upload de fotos,Drag-and-drop com preview e cropper,US-008: Gerenciamento de Portfólio,,Medium,5h,Frontend,frontend;upload
Sub-task,[FRONT-013] Galeria de portfólio,Grid com lightbox e reordenação,US-008: Gerenciamento de Portfólio,,Medium,4h,Frontend,frontend;galeria
Story,US-009: Gerenciamento de Certificações,Como prestador quero adicionar minhas certificações,EP-003: Gestão de Serviços Oferecidos,5,Low,,Backend;Frontend,sprint2;certificacoes
Sub-task,[BACK-014] CRUD de certificações,Endpoints com upload de PDF,US-009: Gerenciamento de Certificações,,Low,3h,Backend,backend;crud
Sub-task,[FRONT-014] Interface de certificações,Formulário e lista de certificações,US-009: Gerenciamento de Certificações,,Low,3h,Frontend,frontend;forms
Epic,EP-004: Busca e Descoberta de Serviços,Sistema de busca filtros e perfil público,,,High,,Backend;Frontend,sprint2;busca
Story,US-010: Busca Avançada de Serviços,Como cliente quero buscar serviços com filtros,EP-004: Busca e Descoberta de Serviços,13,High,,Backend;Frontend,sprint2;mvp;busca
Sub-task,[BACK-015] Aprimorar endpoint de busca,Filtros ordenação e paginação,US-010: Busca Avançada de Serviços,,High,5h,Backend,backend;api
Sub-task,[BACK-016] Implementar busca por geolocalização,Calcular distância e raio de atendimento,US-010: Busca Avançada de Serviços,,High,4h,Backend,backend;geolocalizacao
Sub-task,[FRONT-015] Melhorar página de busca,Sidebar de filtros e cards de resultados,US-010: Busca Avançada de Serviços,,High,6h,Frontend,frontend;busca
Sub-task,[FRONT-016] Implementar geolocalização,Mapa com prestadores próximos,US-010: Busca Avançada de Serviços,,High,5h,Frontend,frontend;maps
Story,US-011: Visualização de Perfil do Prestador,Como cliente quero visualizar o perfil completo do prestador,EP-004: Busca e Descoberta de Serviços,8,High,,Backend;Frontend,sprint2;mvp;perfil
Sub-task,[BACK-017] Endpoint de perfil público,GET /api/prestador/{id}/perfil-publico,US-011: Visualização de Perfil do Prestador,,High,3h,Backend,backend;api
Sub-task,[FRONT-017] Página de perfil do prestador,Hero section com abas de informações,US-011: Visualização de Perfil do Prestador,,High,7h,Frontend,frontend;perfil
Epic,EP-005: Sistema de Agendamento,Agendamento disponibilidade e gerenciamento,,,High,,Backend;Frontend,sprint3;agendamento
